year,season,discipline,startDate,endDate,organisingFederationCode,eventName,eventVenue,eventLevel,eventTypes,localOrganisers,region,information,eventorUrl,entryType,entryDeadlines,eventStatus,punchingSystem,websiteUrl,numberOfCompetitions,eventForm,competitionFormat,numberOfEntries,numberOfFemaleResults,numberOfMaleResults,numberOfUnknownGenderResults
,,FootO,,,AUS,Australian 3-Days Day 1,"Isaacs Ridge, Canberra",World Ranking Event,World Ranking Event,,Oceania,"All the information relating to this event is set out in the event website http://easter2016.orienteering.asn.au/ This event is the second stage of a four-day event for elite competitors in Canberra ACT over the Easter weekend 25-28 March 2016.  The organisers strongly recommend entering via Australian Eventor at http://eventor.orienteering.asn.au/Events/Show/3321 for the Prologue and all three days at http://eventor.orienteering.asn.au/Events/Show/3322.  You can enter all four stages, make payment, and enter all age classes.",https://eventor.orienteering.org/Events/Show/5268,Individual,2016-01-27 22:59:59; 2016-02-29 22:59:59,Completed,SportIdent,http://easter2016.orienteering.asn.au/,0,Individual,Middle,0,40,33,0
,,FootO,,,RUS,"Russian event ""Black Sea""",Gelendgik,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5310,Individual,2016-03-23 19:59:59,Completed,Manual,http://rufso.ru,0,Individual,Sprint,75,57,22,0
,,MTBO,,,TUR,Cappadocia MTBO Cup,"Cappadocia, Turkey",World Ranking Event,World Ranking Event,,Europe,"The competition the entry fee is 15 € per day, 50 € for all 4 days.
SI rental fee is 10 EUR for all 4 days. The last day for on-line entries is 20 March, 2016.",https://eventor.orienteering.org/Events/Show/5154,Individual,2016-03-23 21:59:59,Completed,SportIdent,http://www.orienteering.org.tr,0,Individual,Middle,13,42,9,0
,,FootO,,,GBR,Jan Kjellstrom Long Race,Kilnsey,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5290,Individual,2016-01-14 23:59:59; 2016-02-11 23:59:59; 2016-03-03 23:59:59; 2016-03-19 00:00:59,Completed,SportIdent,http://thejk.org.uk,0,Individual,Long,142,85,45,0
,,MTBO,,,TUR,Cappadocia MTBO Cup,"Cappadocia, Turkey",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5155,Individual,2016-03-24 20:59:59,Completed,SportIdent,http://www.orienteering.org.tr,0,Individual,Sprint,15,38,9,0
,,FootO,,,CZE,Central European Sprint Cup,Teplice nad Be?vou,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5237,Individual,,Completed,SportIdent,http://ob.skprostejov.cz/,0,Individual,Sprint,0,61,34,0
,,FootO,,,CRO,Slavonija & Baranja Open 2016,Beli Manastir,World Ranking Event,World Ranking Event,OK Sova,Europe,,https://eventor.orienteering.org/Events/Show/5264,Individual,2016-03-25 22:59:59,Completed,SportIdent,http://crochallenge.net/slavonija-i-baranja-open-2016,0,Individual,Sprint,27,20,11,0
,,FootO,,,RUS,"Russian event ""Pastukhov Memorial""","Stavropol Region, Jeleznovodsk",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5311,Individual,2016-03-31 20:59:59,Completed,SportIdent,http://rufso.ru,0,Individual,Middle,89,66,23,0
,,FootO,,,RUS,Russian Cup,"Stavropol Region, Stavropol",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5312,Individual,2016-04-05 19:59:59,Completed,SportIdent,http://rufso.ru,0,Individual,Long,86,62,24,0
,,FootO,,,NOR,WRE sprint Trondheim,Trondheim,World Ranking Event,World Ranking Event,OL Trollelg,Europe,,https://eventor.orienteering.org/Events/Show/5277,Individual,2016-04-05 21:59:59,Completed,Emit,https://tsc2016.wordpress.com/,0,Individual,Sprint,0,48,32,0
,,FootO,,,SWE,Swedish League,"Brösarp, Sweden",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5332,Individual,2016-04-07 18:00:59,Completed,SportIdent,http://www.andrarumsif.se/swedishleague,0,Individual,Sprint,0,87,70,0
